x,y,z,yaw,velocity,change_flag
38.829,-70.1044,0.498,-0.0198,1.417472222,0
39.2406,-70.136,0.4811,-0.0204,1.333277778,0
39.6272,-70.1384,0.477,-0.0212,1.399888889,0
39.9978,-70.1481,0.508,-0.0225,1.223055556,0
40.3512,-70.1876,0.5279,-0.0233,0.974027778,0
40.7596,-70.1877,0.5284,-0.0244,1.1205,0
41.1365,-70.2107,0.5638,-0.0275,1.000472222,0
41.4739,-70.2146,0.5513,-0.0285,0.862805556,0
41.8403,-70.2285,0.5539,-0.0308,0.752166667,0
42.2054,-70.2726,0.555,-0.0312,0.847222222,0
42.5102,-70.2793,0.5735,-0.0327,0.462277778,0
42.8188,-70.2987,0.5643,-0.034,0.4935,0
